City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
312,Severnyy,RU,50.68,36.55,48.2,87,39,8.95,scattered clouds
313,Zeerust,ZA,-25.54,26.08,57.2,41,0,6.93,clear sky
314,Filadelfia,US,39.95,-75.16,71.6,94,90,5.82,overcast clouds
315,Plymouth,US,41.83,-70.83,66.99,88,1,3.33,clear sky
316,Terra Santa,BR,-2.1,-56.49,79.74,62,0,1.74,clear sky
317,Cochrane,CA,51.18,-114.47,60.01,54,1,9.17,clear sky
318,Gambela,ET,8.25,34.58,73.36,72,88,3.47,overcast clouds
319,Olonets,RU,60.98,32.97,43.86,88,100,14.9,overcast clouds
320,Elat,IL,29.56,34.95,79.36,60,58,7.43,broken clouds
321,Alexandria,EG,31.22,29.96,79.32,75,0,7.94,clear sky
322,Pangnirtung,CA,66.15,-65.71,33.42,79,2,4.45,clear sky
323,Bayonet Point,US,28.33,-82.68,78.01,96,76,1.01,broken clouds
324,Antalaha,MG,-14.9,50.28,66.54,88,93,4.92,overcast clouds
325,Giddalur,IN,15.35,78.92,79.25,81,96,13.22,overcast clouds
326,Korla,CN,41.76,86.15,76.5,18,33,15.73,scattered clouds
327,Cockburn Town,TC,21.46,-71.14,83.16,78,0,12.44,clear sky
328,Severodvinsk,RU,64.56,39.83,33.8,89,40,6.71,scattered clouds
329,Rabo De Peixe,PT,37.8,-25.58,68.0,72,20,10.29,few clouds
330,Gavrilov-Yam,RU,57.3,39.85,48.2,93,90,8.95,overcast clouds
331,Aksu,CN,41.12,80.26,75.29,19,28,4.45,scattered clouds
332,Shelburne,CA,44.08,-80.2,45.0,80,20,4.7,few clouds
333,Matara,LK,5.95,80.54,80.69,83,100,12.93,overcast clouds
334,Ghanzi,BW,-21.57,21.78,63.61,26,26,7.83,scattered clouds
335,Busayra,JO,30.74,35.61,63.1,61,1,1.45,clear sky
336,Richmond,US,37.55,-77.46,68.0,100,90,6.93,moderate rain
337,Bodden Town,KY,19.28,-81.25,82.99,81,2,1.01,clear sky
338,Nova Olimpia,BR,-14.8,-57.29,77.0,33,11,0.94,few clouds
339,Kaprijke,BE,51.21,3.63,55.4,66,26,12.75,scattered clouds
340,Balsas,BR,-7.53,-46.04,80.46,38,45,4.18,scattered clouds
341,Sistranda,NO,63.73,8.83,55.4,93,75,28.86,broken clouds
342,San Andres,CO,12.58,-81.7,84.4,70,28,2.86,scattered clouds
343,Ormara,PK,25.21,64.64,85.66,39,10,7.96,clear sky
344,Kavaratti,IN,10.57,72.64,82.42,80,100,21.61,overcast clouds
345,Trincomalee,LK,8.57,81.23,83.97,71,92,18.23,overcast clouds
346,Gurupa,BR,-1.41,-51.64,78.57,83,32,6.31,scattered clouds
347,Puerto Baquerizo Moreno,EC,-0.9,-89.6,65.01,89,21,11.45,few clouds
348,Cimitarra,CO,6.31,-73.95,74.39,90,97,1.7,moderate rain
349,Abu Zabad,SD,12.35,29.25,78.51,60,67,6.44,broken clouds
350,Akhtubinsk,RU,48.28,46.17,51.22,57,30,9.06,scattered clouds
351,Quelimane,MZ,-17.88,36.89,73.4,94,20,11.41,few clouds
352,Itupiranga,BR,-5.13,-49.33,81.54,49,23,2.15,few clouds
353,Bud,US,39.45,-86.18,62.01,72,1,5.82,clear sky
354,Rodrigues Alves,BR,-7.74,-72.65,77.0,94,50,0.85,scattered clouds
355,Faya,SA,18.39,42.45,64.4,22,50,5.64,scattered clouds
356,Manjacaze,MZ,-24.71,33.88,67.84,97,51,2.75,broken clouds
357,Pontes E Lacerda,BR,-15.23,-59.34,77.5,32,20,2.84,few clouds
358,Safaga,EG,26.73,33.94,84.65,51,0,15.14,clear sky
359,Montepuez,MZ,-13.13,39.0,64.27,95,74,3.38,broken clouds
360,Bassila,BJ,9.01,1.67,69.15,99,75,3.18,broken clouds
361,Nsanje,MW,-16.92,35.26,71.11,62,0,5.03,clear sky
